Apple,Disney+,Genres,HBO,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Title,Year,_id
false,false,"Biography,Drama",false,false,7.3,true,false,73,The Professor and the Madman,2019,616528458a2fde8299a2ac1e
false,false,"Mystery,Thriller",false,false,6.4,true,true,73,Fractured,2019,616528458a2fde8299a2ac21
false,false,"Comedy,Romance",false,false,5.8,true,false,72,The Perfect Date,2019,616528458a2fde8299a2ac36
false,false,"Action,Crime,Drama,Sci-Fi,Thriller",false,false,6.1,true,false,72,Code 8,2019,616528458a2fde8299a2ac37
false,false,"Action,Adventure,Crime,Thriller",false,false,6.4,true,false,72,Triple Frontier,2019,616528458a2fde8299a2ac49
false,false,"Drama,Mystery,Sci-Fi,Thriller",false,false,6.7,true,false,72,Freaks,2019,616528458a2fde8299a2ac4d
false,false,"Drama,Mystery,Thriller",false,false,6,true,false,72,Horse Girl,2020,616528458a2fde8299a2ac4f
false,false,Drama,false,false,6.7,true,false,72,Hillbilly Elegy,2020,616528458a2fde8299a2ac51
false,false,"Drama,Thriller",false,false,6.6,true,false,71,"I'm Thinking of Ending Things",2020,616528458a2fde8299a2ac57
false,false,"Drama,Romance",false,false,5.3,true,false,71,After,2019,616528458a2fde8299a2ac62
false,false,"Horror,Mystery,Thriller",false,false,5.7,true,false,71,Velvet Buzzsaw,2019,616528458a2fde8299a2ac66
false,false,"Comedy,Drama",false,false,7.2,true,false,71,"Live Twice, Love Once",2019,616528458a2fde8299a2ac6c
false,false,"Action,Adventure,Drama,Fantasy",false,false,6.8,true,false,71,The Outpost,2019,616528458a2fde8299a2ac73
false,false,"Action,Drama,Romance",false,false,7.1,true,false,71,Kabir Singh,2019,616528458a2fde8299a2ac74
false,false,"Documentary,Music",false,false,7.5,true,false,71,Homecoming: A Film by Beyoncé,2019,616528458a2fde8299a2ac75
false,false,Comedy,false,false,6.7,true,false,71,Jerry Seinfeld: 23 Hours to Kill,2020,616528458a2fde8299a2ac76
false,false,"Action,Biography,Drama,History",false,false,7,true,false,71,Ip Man 4: The Finale,2019,616528458a2fde8299a2ac77
false,false,"Comedy,Crime,Drama,History",false,false,6.3,true,false,71,The Laundromat,2019,616528458a2fde8299a2ac78
false,false,Comedy,false,false,6.6,true,false,71,Bad Trip,2020,616528458a2fde8299a2ac7a
false,false,"Drama,Fantasy,Sci-Fi,Thriller",false,false,5.6,true,false,71,The Midnight Sky,2020,616528458a2fde8299a2ac7e
false,false,"Drama,Sci-Fi,Thriller",false,false,6.2,true,false,71,Synchronic,2020,616528458a2fde8299a2ac81
false,false,Documentary,false,false,7.9,true,false,70,The Game Changers,2019,616528458a2fde8299a2ac83
false,false,Comedy,false,false,7.2,true,false,70,Michelle Wolf: Joke Show,2019,616528458a2fde8299a2ac84
false,false,"Adventure,Drama,War",false,false,6.5,true,false,70,Da 5 Bloods,2020,616528458a2fde8299a2ac85
false,false,"Biography,Drama,History",false,false,7.2,true,false,70,The Best of Enemies,2019,616528458a2fde8299a2ac87
false,false,"Comedy,Romance",false,false,6.2,true,false,70,"Faith, Hope & Love",2019,616528458a2fde8299a2ac8e
