Disney+,Genres,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Runtime,Title,Year,_id
false,"Documentary,Biography,History",false,7.1,true,false,81,92,Circus of Books,2019,6163fd7662fe85987e167bc5
false,"Comedy,Drama,Romance",false,6.7,true,false,81,111,Tallulah,2016,6163fd7662fe85987e167bc6
false,"Horror,Mystery,Thriller",false,7.3,true,false,81,134,The Conjuring 2,2016,6163fd7662fe85987e167bc7
false,Documentary,false,7.4,true,false,81,98,"They'll Love Me When I'm Dead",2018,6163fd7662fe85987e167bc8
false,"Drama,Thriller",false,7.5,true,false,81,116,Nocturnal Animals,2016,6163fd7662fe85987e167bc9
false,"Documentary,Biography",false,7.3,true,false,81,92,Get Me Roger Stone,2017,6163fd7662fe85987e167bca
false,"Biography,Drama,Family",false,8.1,true,false,81,93,"Hachi: A Dog's Tale",2009,6163fd7662fe85987e167bcb
false,"Adventure,Drama,Western",false,8,true,false,80,181,Dances with Wolves,1990,6163fd7662fe85987e167bcc
false,"Action,Crime,Drama",false,7.8,true,false,80,148,Udta Punjab,2016,6163fd7662fe85987e167bcd
false,"Comedy,Romance",false,7.5,true,false,80,116,"Bareilly's Barfi",2017,6163fd7662fe85987e167bce
false,"Crime,Drama",false,7.4,true,false,80,105,Divines,2016,6163fd7662fe85987e167bcf
false,"Comedy,Drama",false,7.3,true,false,80,100,Maktub,2017,6163fd7662fe85987e167bd0
false,"Crime,Mystery,Thriller",false,7.2,true,false,80,105,Ittefaq,2017,6163fd7662fe85987e167bd1
false,"Documentary,Comedy",false,8.3,true,false,80,69,Hannah Gadsby: Nanette,2018,6163fd7662fe85987e167bd2
false,Comedy,false,7.4,true,false,80,64,Ali Wong: Hard Knock Wife,2018,6163fd7662fe85987e167bd3
false,Drama,false,7.6,true,true,80,123,Seven Pounds,2008,6163fd7662fe85987e167bd4
false,"Crime,Drama,Thriller",false,7.4,true,false,80,135,Uncut Gems,2019,6163fd7662fe85987e167bd5
false,"Drama,Thriller",false,6.7,true,false,80,96,The Kindergarten Teacher,2018,6163fd7662fe85987e167bd6
false,"Drama,History,Musical,Romance,War",false,7.6,true,true,80,158,Les Misérables,2012,6163fd7662fe85987e167bd7
false,"Drama,Romance",false,7.6,true,false,80,143,The Sky Is Pink,2019,6163fd7662fe85987e167bd8
false,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",false,6.6,true,false,80,106,Next Gen,2018,6163fd7662fe85987e167bd9
false,"Documentary,Comedy",false,7.6,true,false,80,71,Tom Segura: Disgraceful,2018,6163fd7662fe85987e167bda
false,Drama,false,7.4,true,false,80,120,My Happy Family,2017,6163fd7662fe85987e167bdb
false,Documentary,false,6.6,true,false,80,98,The American Meme,2018,6163fd7662fe85987e167bdc
false,"Crime,Drama,Mystery,Thriller",false,7.8,true,false,80,118,Badla,2019,6163fd7662fe85987e167bdd
