Apple,Disney+,Genres,HBO,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Title,Year,_id
false,false,"Comedy,Music",false,false,6.5,true,false,84,Eurovision Song Contest: The Story of Fire Saga,2020,6165e0ee8a2fde8299a2d24c
false,false,"Comedy,Drama,Family,Romance",false,false,7.7,true,false,84,Kapoor & Sons,2016,6165e0ee8a2fde8299a2d24d
false,false,"Drama,Horror,Music,Thriller",false,false,6.2,true,false,84,The Perfection,2018,6165e0ee8a2fde8299a2d24e
false,false,Comedy,false,false,8.5,true,false,84,Dave Chappelle: Sticks & Stones,2019,6165e0ee8a2fde8299a2d24f
false,false,Drama,false,false,8.2,true,false,84,There Will Be Blood,2007,6165e0ee8a2fde8299a2d250
false,false,"Drama,Sport",false,false,8.1,true,false,84,Million Dollar Baby,2004,6165e0ee8a2fde8299a2d251
false,false,"Biography,Drama",false,true,7.7,true,false,84,The Social Network,2010,6165e0ee8a2fde8299a2d252
false,false,"Adventure,Comedy,Family,Fantasy",false,false,7,true,false,84,The Christmas Chronicles,2018,6165e0ee8a2fde8299a2d253
false,false,"Adventure,Comedy,Fantasy",false,false,8.2,true,false,84,Monty Python and the Holy Grail,1975,6165e0ee8a2fde8299a2d254
false,false,Documentary,false,false,7.8,true,false,84,The Pixar Story,2007,6165e0ee8a2fde8299a2d255
false,false,"Drama,Music",false,false,7,true,false,84,"Ma Rainey's Black Bottom",2020,6165e0ee8a2fde8299a2d256
false,false,"Drama,Thriller",false,false,6.8,true,false,84,Calibre,2018,6165e0ee8a2fde8299a2d257
false,false,"Comedy,Drama,Romance",false,false,7.7,true,false,84,Silver Linings Playbook,2012,6165e0ee8a2fde8299a2d258
false,false,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi",false,false,6.4,true,false,84,Over the Moon,2020,6165e0ee8a2fde8299a2d259
false,false,"Documentary,Biography,Music",false,false,7.6,true,false,84,"What Happened, Miss Simone?",2015,6165e0ee8a2fde8299a2d25a
false,false,"Crime,Drama,Thriller",false,false,7.8,true,false,84,Nightcrawler,2014,6165e0ee8a2fde8299a2d25b
false,false,"Crime,Drama,Horror,Mystery,Thriller",false,false,6.3,true,false,84,1922,2017,6165e0ee8a2fde8299a2d25c
false,false,"Comedy,Drama",false,false,7.2,true,false,84,Paddleton,2019,6165e0ee8a2fde8299a2d25d
false,false,"Drama,Horror,Sci-Fi,Thriller",false,false,6.3,true,false,84,Cargo,2017,6165e0ee8a2fde8299a2d25e
false,false,Drama,false,false,8,true,false,83,Rain Man,1988,6165e0ee8a2fde8299a2d25f
false,false,Documentary,false,false,8.3,true,false,83,Cuba and the Cameraman,2017,6165e0ee8a2fde8299a2d260
false,false,"Horror,Mystery,Thriller",false,false,6.3,true,false,83,The Ritual,2017,6165e0ee8a2fde8299a2d261
false,false,"Drama,Thriller",false,false,7.1,true,false,83,The Hater,2020,6165e0ee8a2fde8299a2d262
