Apple,Disney,Genres,HBO,Hulu,IMDb Rating,Netflix,Num Votes,Prime,Release Date,Title,Year,_id
,,"Comedy, Drama, Family",,,5.7,,928,,9/8/2021,"Doogie Kamealoha, M.D.",2021,61651abd8a2fde8299a2a9f6
false,0,"Drama, Fantasy, Sci-Fi, Thriller",true,false,7.5,false,57537,false,9/3/2020,Raised by Wolves,2020,61651abd8a2fde8299a2a9f7
false,0,"Comedy, Drama, Romance",false,false,7,true,58933,false,10/2/2020,Emily in Paris,2020,61651abd8a2fde8299a2a9f8
false,0,"Action, Adventure, Drama, Fantasy, Sci-Fi",false,false,7.9,true,42950,false,6/4/2021,Sweet Tooth,2021,61651abd8a2fde8299a2a9f9
false,0,"Documentary, Crime",false,false,6.2,true,1331,false,9/22/2021,Monsters Inside: The 24 Faces of Billy Milligan,2021,61651abd8a2fde8299a2a9fa
false,0,"Animation, Action, Adventure, Comedy, Crime, Fantasy, Sci-Fi",false,false,6.3,true,3402,false,9/2/2021,Q-Force,2021,61651abd8a2fde8299a2a9fb
true,0,Comedy,false,false,7.7,false,17185,false,2/7/2020,"Mythic Quest: Raven's Banquet",2020,61651abd8a2fde8299a2a9fc
false,0,"Crime, Drama, Mystery, Thriller",true,false,7.4,false,77564,false,10/25/2020,The Undoing,2020,61651abd8a2fde8299a2a9fd
false,1,Talk-Show,false,false,8,false,321,false,9/30/2021,The Problem with Jon Stewart,2021,61651abd8a2fde8299a2a9fe
,,"Adventure, Drama, Fantasy, Horror, Sci-Fi, Thriller",,,5.5,,21223,,12/16/2020,The Stand,2020,61651abd8a2fde8299a2a9ff
,,"Drama, Mystery, Sci-Fi",,,6.4,,10933,,10/28/2019,War of the Worlds,2019,61651abd8a2fde8299a2aa00
,,"Drama, Fantasy, Sci-Fi, Thriller",,,7.3,,11300,,3/18/2020,Motherland: Fort Salem,2020,61651abd8a2fde8299a2aa01
false,0,"Action, Drama, Fantasy, Sci-Fi, Thriller",true,false,7.4,false,17799,false,4/11/2021,The Nevers,2021,61651abd8a2fde8299a2aa02
false,0,"Drama, Thriller",true,false,7.1,false,3694,false,10/10/2020,Shadowplay,2020,61651abd8a2fde8299a2aa03
false,0,"Action, Drama, Sci-Fi, Thriller",true,false,6.9,false,41252,false,5/17/2020,Snowpiercer,2020,61651abd8a2fde8299a2aa04
,,"Comedy, Romance",,,7.5,,10426,,5/27/2020,Love Life,2020,61651abd8a2fde8299a2aa05
,,"Animation, Action, Drama, Sport, Thriller",,,6.7,,463,,9/30/2021,Hanma Baki: Son of Ogre,2021,61651abd8a2fde8299a2aa06
false,0,Drama,false,false,7.7,true,36103,false,3/18/2020,Little Fires Everywhere,2020,61651abd8a2fde8299a2aa07
false,0,"Drama, Romance",false,false,8.5,true,50376,false,4/26/2020,Normal People,2020,61651abd8a2fde8299a2aa08
false,0,"Crime, Drama, Mystery, Thriller",false,false,7.4,false,7555,true,2/19/2021,Tell Me Your Secrets,2021,61651abd8a2fde8299a2aa09
,,"Comedy, Drama, Mystery, Sci-Fi",,,8.2,,25138,,1/27/2021,Resident Alien,2021,61651abd8a2fde8299a2aa0a
false,1,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",false,false,8,false,19995,false,5/4/2021,Star Wars: The Bad Batch,2021,61651abd8a2fde8299a2aa0b
false,0,"Action, Drama, Mystery, Sci-Fi",true,false,8.2,false,104157,false,10/20/2019,Watchmen,2019,61651abd8a2fde8299a2aa0c
,,"Animation, Action, Adventure, Fantasy, Thriller",,,8.7,,30899,,10/2/2020,Jujutsu Kaisen,2020,61651abd8a2fde8299a2aa0d
false,0,"Animation, Comedy",false,false,5.3,true,719,false,9/17/2021,Chicago Party Aunt,2021,61651abd8a2fde8299a2aa0e
false,0,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",true,false,7.1,false,36072,false,8/16/2020,Lovecraft Country,2020,61651abd8a2fde8299a2aa0f
false,0,"Animation, Action, Adventure, Comedy, Crime, Fantasy, Mystery",true,false,8.5,false,19253,false,11/29/2019,Harley Quinn,2019,61651abd8a2fde8299a2aa10
,,Drama,,,7.4,,7691,,9/27/2020,The Comey Rule,2020,61651abd8a2fde8299a2aa11
,,"Comedy, Fantasy",,,7,,662,,10/7/2021,Ghosts,2021,61651abd8a2fde8299a2aa12
false,0,"Biography, Comedy, Drama, History",false,true,8.1,false,23344,false,5/15/2020,The Great,2020,61651abd8a2fde8299a2aa13
false,0,"Comedy, Drama",false,false,7.5,true,38200,false,2/24/2021,Ginny & Georgia,2021,61651abd8a2fde8299a2aa14
false,0,"Action, Crime, Drama, Mystery, Thriller",false,false,7.1,true,6821,false,8/6/2021,Hit and Run,2021,61651abd8a2fde8299a2aa15
,,"Crime, Mystery, Thriller",,,8.8,,12831,,7/9/2021,Leverage: Redemption,2021,61651abd8a2fde8299a2aa16
true,0,"Drama, Horror, Mystery, Thriller",false,false,7.5,false,25941,false,11/28/2019,Servant,2019,61651abd8a2fde8299a2aa17
,,"Comedy, Drama, War",,,5.7,,1891,,1/15/2020,68 Whiskey,2020,61651abd8a2fde8299a2aa18
false,0,"Crime, Drama, Fantasy, Mystery, Thriller",true,false,7.7,false,71454,false,1/12/2020,The Outsider,2020,61651abd8a2fde8299a2aa19
,,"Animation, Comedy",,,6.5,,2217,,1/3/2021,The Great North,2021,61651abd8a2fde8299a2aa1a
,,"Comedy, Music",,,8.3,,15160,,3/4/2020,Dave,2020,61651abd8a2fde8299a2aa1b
,,"Drama, Mystery, Thriller",,,7.5,,10405,,3/16/2021,Cruel Summer,2021,61651abd8a2fde8299a2aa1c
false,0,"Game-Show, Reality-TV",false,false,7.3,true,5896,false,1/1/2020,The Circle,2020,61651abd8a2fde8299a2aa1d
,,"Crime, Drama, Thriller",,,7.6,,39193,,12/6/2020,Your Honor,2020,61651abd8a2fde8299a2aa1e
,,"Action, Crime, Drama, Mystery, Thriller",,,4.9,,8585,,2/7/2021,The Equalizer,2021,61651abd8a2fde8299a2aa1f
true,0,"Comedy, Musical",false,false,7.3,false,6061,false,7/16/2021,Schmigadoon!,2021,61651abd8a2fde8299a2aa20
,,Drama,,,6.9,,112,,9/26/2021,Fires,2021,61651abd8a2fde8299a2aa21
false,0,Documentary,true,false,7.4,false,419,false,9/30/2021,"The Way Down: God, Greed and the Cult of Gwen Shamblin",2021,61651abd8a2fde8299a2aa22
false,0,"Animation, Short, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",false,false,6.2,true,873,false,9/16/2021,He-Man and the Masters of the Universe,2021,61651abd8a2fde8299a2aa23
,,"Animation, Comedy",,,8.3,,502,,9/30/2021,Ten Year Old Tom,2021,61651abd8a2fde8299a2aa24
,,"Crime, Drama",,,8.3,,14075,,6/6/2021,Time,2021,61651abd8a2fde8299a2aa25
false,0,"Biography, Crime, Drama",false,true,7.7,false,5604,false,1/1/2020,For Life,2020,61651abd8a2fde8299a2aa26
false,0,"Drama, Mystery, Thriller",false,false,7.2,true,50264,false,2/17/2021,Behind Her Eyes,2021,61651abd8a2fde8299a2aa27
,,"Action, Adventure, History, War",,,8.8,,1195,,9/16/2021,"Barbaroslar: Akdeniz'in Kilici",2021,61651abd8a2fde8299a2aa28
false,0,Drama,true,false,8.1,false,16871,false,6/7/2020,I May Destroy You,2020,61651abd8a2fde8299a2aa29
false,0,"Documentary, Crime, Mystery",false,false,7.4,true,555,false,9/22/2021,Crime Stories: India Detectives,2021,61651abd8a2fde8299a2aa2a
,,"Comedy, Crime",,,5.4,,857,,3/25/2020,Hitmen,2020,61651abd8a2fde8299a2aa2b
,,"Action, Crime, Drama",,,8.1,,25017,,4/23/2020,Gangs of London,2020,61651abd8a2fde8299a2aa2c
,,"Comedy, Crime, Drama, Family",,,6.4,,280,,7/6/2021,Family Law,2021,61651abd8a2fde8299a2aa2d
,,"Comedy, Drama",,,6.9,,5545,,6/13/2021,Kevin Can F**k Himself,2021,61651abd8a2fde8299a2aa2e
false,0,"Crime, Drama, Mystery, Thriller",false,false,7.3,true,46994,false,9/18/2020,Ratched,2020,61651abd8a2fde8299a2aa2f
