Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
Zombieland,2009,7.6,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Comedy,Fantasy,Horror,Sci-Fi"
Eurovision Song Contest: The Story of Fire Saga,2020,6.5,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Music"
Kapoor & Sons,2016,7.7,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Family,Romance"
The Perfection,2018,6.2,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Horror,Music,Thriller"
Dave Chappelle: Sticks & Stones,2019,8.5,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
There Will Be Blood,2007,8.2,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
Million Dollar Baby,2004,8.1,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Sport"
The Social Network,2010,7.7,84,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama"
The Christmas Chronicles,2018,7,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Comedy,Family,Fantasy"
Monty Python and the Holy Grail,1975,8.2,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Comedy,Fantasy"
The Pixar Story,2007,7.8,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Ma Rainey's Black Bottom,2020,7,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Music"
Calibre,2018,6.8,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Thriller"
Silver Linings Playbook,2012,7.7,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
Over the Moon,2020,6.4,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi"
"What Happened, Miss Simone?",2015,7.6,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,Music"
Nightcrawler,2014,7.8,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Thriller"
1922,2017,6.3,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Horror,Mystery,Thriller"
Paddleton,2019,7.2,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
Cargo,2017,6.3,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Horror,Sci-Fi,Thriller"
Rain Man,1988,8,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
Cuba and the Cameraman,2017,8.3,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
The Ritual,2017,6.3,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Horror,Mystery,Thriller"
The Hater,2020,7.1,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Thriller"
The Edge of Democracy,2019,7.2,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,History"
22-Jul,2018,6.8,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,History,Thriller"
Adam Sandler: 100% Fresh,2018,7.6,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Music"
Guru,2007,7.7,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
A Twelve-Year Night,2018,7.5,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Crime,Drama,History"
Dumplin',2018,6.6,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
The Conjuring,2013,7.5,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Horror,Mystery,Thriller"
Marriage Story,2019,7.9,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
My Octopus Teacher,2020,8.1,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
About Time,2013,7.8,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Fantasy,Romance,Sci-Fi"
Hey Arnold! The Jungle Movie,2017,7.6,83,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family,Fantasy"
Kung Fu Panda,2008,7.6,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Action,Adventure,Comedy,Family"
Superbad,2007,7.6,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
The Invisible Guest,2016,8.1,83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller"
Chinatown,1974,8.2,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Mystery,Thriller"
Mystic River,2003,7.9,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller"
The Theory of Everything,2014,7.7,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama,Romance"
Springsteen On Broadway,2018,8.5,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Music"
The Life Ahead,2020,6.8,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
The Terminal,2004,7.4,82,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
Scott Pilgrim vs. the World,2010,7.5,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Comedy,Fantasy,Romance"
Being Elmo: A Puppeteer's Journey,2011,7.6,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Life of Brian,1979,8.1,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
The Resistance Banker,2018,6.9,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama,War"
How to Train Your Dragon 2,2014,7.8,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Action,Adventure,Family,Fantasy"
The Endless Trench,2019,7.2,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,History,Thriller,War"
Even the Rain,2010,7.4,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,History"
Love Actually,2003,7.6,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
Dear Ex,2018,7.4,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
Braven,2018,5.9,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Thriller"
Period. End of Sentence.,2018,7.4,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Short"
Captain Fantastic,2016,7.9,82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
Veronica,2017,6.2,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
The Siege of Jadotville,2016,7.2,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,History,Thriller,War"
Into the Inferno,2016,7.2,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Ricky Gervais: Humanity,2018,8,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
