_id,Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
6165e0ee8a2fde8299a2d2c5,Klaus,2019,8.2,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family"
6165e0ee8a2fde8299a2d2d4,Miles Davis: Birth of the Cool,2019,7.4,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Biography
6165e0ee8a2fde8299a2d2d6,Screwball,2019,7.1,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d2d7,The Old Guard,2020,6.7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Fantasy,Thriller"
6165e0ee8a2fde8299a2d2e8,Roll Red Roll,2019,7.1,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Crime"
6165e0ee8a2fde8299a2d2e9,Enola Holmes,2020,6.6,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Crime,Drama,Mystery"
6165e0ee8a2fde8299a2d2ed,Miracle in Cell No. 7,2019,8.2,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d2ef,Trixie Mattel: Moving Parts,2019,7.3,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d2f1,Evelyn,2019,7.1,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d2f3,In the Shadow of the Moon,2019,6.2,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Mystery,Sci-Fi,Thriller"
6165e0ee8a2fde8299a2d2fe,Murder Mystery,2019,6,76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Comedy,Crime,Mystery,Romance"
6165e0ee8a2fde8299a2d309,The Two Popes,2019,7.6,76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
6165e0ee8a2fde8299a2d30a,The Wandering Earth,2019,6,76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Sci-Fi,Thriller"
6165e0ee8a2fde8299a2d30c,Eye for an Eye,2019,6.6,76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Thriller
6165e0ee8a2fde8299a2d31a,6 Underground,2019,6.1,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Thriller"
6165e0ee8a2fde8299a2d31b,Uncorked,2020,6.3,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d31c,Petta,2019,7.3,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama"
6165e0ee8a2fde8299a2d31f,"Bikram: Yogi, Guru, Predator",2019,6.7,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Crime"
6165e0ee8a2fde8299a2d32e,Angel Has Fallen,2019,6.4,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Thriller"
6165e0ee8a2fde8299a2d331,The Red Sea Diving Resort,2019,6.6,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,History,Thriller"
6165e0ee8a2fde8299a2d354,Game Over,2019,7.1,74,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Comedy,Drama,Family,Romance,Sport"
6165e0ee8a2fde8299a2d356,Have a Good Trip: Adventures in Psychedelics,2020,6.8,74,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Comedy"
