Genres,IMDb,Prime Video,Rotten Tomatoes,Title,Year,_id
Drama,6,true,52,From the Vine,2019,616528458a2fde8299a2c28d
Comedy,6.1,true,52,The Planters,2019,616528458a2fde8299a2c28e
Comedy,5.6,true,52,The Wedding Year,2019,616528458a2fde8299a2c2a4
"Action,Drama",5.6,true,52,Walkaway Joe,2020,616528458a2fde8299a2c2a7
"Adventure,Crime,Drama",5.7,true,52,The True Adventures of Wolfboy,2019,616528458a2fde8299a2c2aa
Comedy,6.2,true,52,Frances Ferguson,2019,616528458a2fde8299a2c2ae
"Crime,Drama,Thriller",7.8,true,52,Magamuni,2019,616528458a2fde8299a2c2b6
"Drama,Romance",3.6,true,52,Kalank,2019,616528458a2fde8299a2c2b7
"Action,Comedy,Sci-Fi",4.8,true,52,Max Cloud,2020,616528458a2fde8299a2c2bb
"Crime,Drama,Thriller",6.8,true,52,Ponmagal Vandhal,2020,616528458a2fde8299a2c2bd
"Drama,Romance",7,true,52,Jaanu,2020,616528458a2fde8299a2c2be
"Action,Thriller",6.5,true,52,Kaappaan,2019,616528458a2fde8299a2c2bf
Action,7.1,true,52,George Reddy,2019,616528458a2fde8299a2c2c2
"Family,Fantasy",5.1,true,52,Four Kids and It,2020,616528458a2fde8299a2c2cc
"Action,Biography,Drama,History",6.4,true,52,Manikarnika: The Queen of Jhansi,2019,616528458a2fde8299a2c2cf
"Mystery,Thriller",5.1,true,52,The Dark Red,2020,616528458a2fde8299a2c2d8
"Action,Thriller",6.4,true,52,Falaknuma Das,2019,616528458a2fde8299a2c2db
Horror,4.8,true,52,The Special,2020,616528458a2fde8299a2c2de
Documentary,7.5,true,52,A Most Beautiful Thing,2020,616528458a2fde8299a2c2eb
"Animation,Adventure,Family,Fantasy",6.1,true,51,Birthday Wonderland,2019,616528458a2fde8299a2c2fd
"Adventure,Comedy",5.2,true,51,I Hate Kids,2019,616528458a2fde8299a2c30a
Drama,7.2,true,51,When We Last Spoke,2020,616528458a2fde8299a2c30c
"Action,Crime,Thriller",3.6,true,51,10 Minutes Gone,2019,616528458a2fde8299a2c315
Documentary,7.4,true,51,Fiddler: A Miracle of Miracles,2019,616528458a2fde8299a2c319
"Crime,Thriller",5.4,true,51,100 Days to Live,2019,616528458a2fde8299a2c31a
"Action,Western",5.3,true,51,Big Kill,2019,616528458a2fde8299a2c335
"Comedy,Drama",6,true,51,Elsewhere,2020,616528458a2fde8299a2c336
Drama,7.2,true,51,What the Constitution Means to Me,2020,616528458a2fde8299a2c338
"Crime,Thriller",6.2,true,51,American Dreamer,2019,616528458a2fde8299a2c33d
Horror,5.6,true,51,The Source of Shadows,2020,616528458a2fde8299a2c340
"Horror,Mystery",4.9,true,51,The Odds,2019,616528458a2fde8299a2c35c
Reality-TV,5,true,51,Kindred Spirits,2019,616528458a2fde8299a2c368
"Comedy,Drama",4.8,true,51,Summer Night,2019,616528458a2fde8299a2c36a
"Action,Drama,Sci-Fi",6,true,50,Out of Time,2019,616528458a2fde8299a2c36d
"Drama,Romance",5.4,true,50,See You Soon,2019,616528458a2fde8299a2c371
Comedy,5.7,true,50,Spinster,2020,616528458a2fde8299a2c373
"Action,Drama,Sport,Thriller",4.4,true,50,Trading Paint,2019,616528458a2fde8299a2c378
"Documentary,Biography,Sport",6.6,true,50,Kroos,2019,616528458a2fde8299a2c37c
Comedy,5.7,true,50,Yearly Departed,2020,616528458a2fde8299a2c37d
"Drama,Thriller",6.2,true,50,Aadai,2019,616528458a2fde8299a2c383
"Action,Adventure,History",3.1,true,50,The Legion,2020,616528458a2fde8299a2c38c
"Adventure,Horror",4.5,true,50,They Reach,2020,616528458a2fde8299a2c396
"Comedy,Drama,Sport",5.3,true,50,Britt-Marie Was Here,2019,616528458a2fde8299a2c39f
"Animation,Drama,Music",7.1,true,50,Sound! Euphonium the Movie - Our Promise: A Brand New Day,2019,616528458a2fde8299a2c3a1
"Adventure,Comedy,Sci-Fi",4.9,true,50,Max Reload and the Nether Blasters,2020,616528458a2fde8299a2c3bc
Drama,5.6,true,50,Bottom of the 9th,2019,616528458a2fde8299a2c3bf
"Fantasy,Horror,Mystery,Thriller",4.5,true,50,Darkness Falls,2020,616528458a2fde8299a2c3d4
"Drama,Mystery,Thriller",4.6,true,50,The Winter Lake,2020,616528458a2fde8299a2c3d7
Drama,7.3,true,49,Ardab Mutiyaran,2019,616528458a2fde8299a2c3e4
"Adventure,Drama,Family",5.3,true,49,Antarctica,2020,616528458a2fde8299a2c3ed
Horror,4.2,true,49,The Jack in the Box,2020,616528458a2fde8299a2c3f1
"Action,Drama,Romance,Thriller",5.6,true,49,Enai Noki Paayum Thota,2019,616528458a2fde8299a2c412
Comedy,6.2,true,49,F2: Fun and Frustration,2019,616528458a2fde8299a2c428
"Action,Adventure,Drama,History",5.5,true,49,The Climbers,2019,616528458a2fde8299a2c42a
"Action,Comedy,Drama",5.5,true,49,Venky Mama,2019,616528458a2fde8299a2c42d
Horror,4.2,true,49,Inmate Zero,2020,616528458a2fde8299a2c431
Comedy,5.3,true,49,"My Dad's Christmas Date",2020,616528458a2fde8299a2c435
Comedy,5.6,true,49,Making Babies,2019,616528458a2fde8299a2c437
Comedy,5.3,true,49,Lazy Susan,2020,616528458a2fde8299a2c438
Drama,6.1,true,49,A Dog Barking at the Moon,2019,616528458a2fde8299a2c440
"Horror,Mystery",4.5,true,49,"Don't Let Them In",2020,616528458a2fde8299a2c450
"Comedy,Drama,Romance",6.5,true,49,Chandigarh Amritsar Chandigarh,2019,616528458a2fde8299a2c45c
"Comedy,Drama,Romance",5.9,true,48,Never Too Late,2020,616528458a2fde8299a2c465
Comedy,6.8,true,48,David Cross: Oh Come On,2019,616528458a2fde8299a2c471
Thriller,4.6,true,48,Beneath The Leaves,2019,616528458a2fde8299a2c479
"Comedy,Fantasy,Horror",4.8,true,48,Halloween Party,2019,616528458a2fde8299a2c47a
Music,7.3,true,48,Savage X Fenty Show Vol. 2,2020,616528458a2fde8299a2c47b
"Comedy,Fantasy,Horror,Thriller",3.6,true,48,Killer Sofa,2019,616528458a2fde8299a2c48b
Comedy,6.1,true,48,Halal Love Story,2020,616528458a2fde8299a2c494
"Comedy,Drama",5.7,true,48,"She's In Portland",2020,616528458a2fde8299a2c496
Comedy,6.2,true,48,Getting to Know You,2020,616528458a2fde8299a2c49b
Documentary,7,true,48,Once is Enough,2020,616528458a2fde8299a2c4a0
"Drama,Horror,Thriller",2.8,true,48,The Haunting of Sharon Tate,2019,616528458a2fde8299a2c4b9
Documentary,8.3,true,48,Pain Warriors,2019,616528458a2fde8299a2c4c3
"Action,Comedy,Crime",3,true,48,Dabangg 3,2019,616528458a2fde8299a2c4cc
"Action,Crime,Thriller",5.7,true,48,Kadaram Kondan,2019,616528458a2fde8299a2c4dd
Action,6.7,true,47,Yajamana,2019,616528458a2fde8299a2c4f0
Documentary,7,true,47,Most Likely to Succeed,2019,616528458a2fde8299a2c519
"Drama,War",3.8,true,47,The Great War,2019,616528458a2fde8299a2c51e
"Drama,Mystery,Thriller",4.6,true,47,Penguin,2020,616528458a2fde8299a2c52c
Documentary,6.4,true,47,American Tragedy,2019,616528458a2fde8299a2c536
Documentary,9,true,47,They Come to America IV: Immigration & Politics,2020,616528458a2fde8299a2c538
Documentary,8.3,true,47,The Days of Noah Part 1: The Flood,2019,616528458a2fde8299a2c546
"Horror,Mystery,Thriller",4.3,true,47,Reunion,2020,616528458a2fde8299a2c54e
Comedy,8.4,true,47,"Steve Trevino: 'Til Death",2019,616528458a2fde8299a2c551
"Biography,Drama",5.6,true,47,N.T.R: Kathanayakudu,2019,616528458a2fde8299a2c55c
"Adventure,Fantasy",5.3,true,47,A World Away,2019,616528458a2fde8299a2c55d
"Comedy,Drama,Romance",4.8,true,47,Home Sweet Home,2020,616528458a2fde8299a2c56f
Musical,7.2,true,46,Pride and Prejudice - A New Musical,2020,616528458a2fde8299a2c57b
Drama,6.8,true,46,Sweet Sunshine,2020,616528458a2fde8299a2c586
Thriller,5.3,true,46,We Still Say Grace,2020,616528458a2fde8299a2c591
Romance,5.8,true,46,A Christmas Recipe for Romance,2019,616528458a2fde8299a2c592
Comedy,7.8,true,46,Maria Bamford: Weakness Is the Brand,2020,616528458a2fde8299a2c5b0
