Genres,Hulu,IMDb,Rotten Tomatoes,Title,Year,_id
"Drama,Romance",true,6.6,60,Ordinary Love,2019,616528458a2fde8299a2bafd
"Comedy,Drama",true,6.4,60,Rams,2020,616528458a2fde8299a2bb03
"Animation,Action,Adventure,Drama,Fantasy,Horror",true,4.9,60,Primal,2019,616528458a2fde8299a2bb07
Thriller,true,4.6,59,Grand Isle,2019,616528458a2fde8299a2bb0a
Documentary,true,7.1,59,The Donut King,2020,616528458a2fde8299a2bb0b
"Crime,Drama,Western",true,6.2,59,Little Woods,2019,616528458a2fde8299a2bb0d
"Biography,Drama",true,5,59,Tesla,2020,616528458a2fde8299a2bb10
"Crime,Drama,Thriller",true,5.4,59,Running with the Devil,2019,616528458a2fde8299a2bb11
"Documentary,Sport",true,7.2,59,You Cannot Kill David Arquette,2020,616528458a2fde8299a2bb12
"Animation,Adventure,Comedy,Family,Fantasy",true,5.7,59,100% Wolf,2020,616528458a2fde8299a2bb13
Documentary,true,7,59,Stray,2020,616528458a2fde8299a2bb19
"Action,Drama,Thriller",true,4.5,59,The Doorman,2020,616528458a2fde8299a2bb1f
"Comedy,Crime,Drama",true,6.5,58,Bull,2020,616528458a2fde8299a2bb29
"Drama,Horror,Mystery,Sci-Fi",true,5.9,58,Little Joe,2019,616528458a2fde8299a2bb2b
Documentary,true,7.6,58,The Orange Years: The Nickelodeon Story,2020,616528458a2fde8299a2bb2c
"Drama,Sport",true,6.2,58,The Fight,2020,616528458a2fde8299a2bb2e
"Drama,Sci-Fi,Thriller",true,5.7,58,The Mandela Effect,2019,616528458a2fde8299a2bb2f
"Crime,Drama,Thriller",true,5.3,58,Crypto,2019,616528458a2fde8299a2bb35
"Action,Crime,Thriller",true,4.7,58,A Score to Settle,2019,616528458a2fde8299a2bb36
"Comedy,Crime,Horror,Mystery,Thriller",true,4.9,58,The Owners,2020,616528458a2fde8299a2bb38
