Genres,IMDb,Rotten Tomatoes,Title
"Animation,Adventure,Comedy,Family,Horror,Musical",5.8,37,"Super Monsters: Vida's First Halloween"
Comedy,5.5,37,Fadily Camara: La plus drôle de tes copines
Comedy,6.8,37,Edoardo Ferrario: Temi Caldi
"Adventure,Comedy,Drama,Family,Sport",4.9,36,Mi amigo Alexis
Comedy,5.1,36,Loving is Losing
"Drama,Romance",5.4,36,Ali and Alia
"Comedy,Drama",6,36,Bridezilla
"Animation,Short,Adventure,Comedy,Family,Fantasy,Musical",6.9,36,True: Winter Wishes
"Comedy,Drama",6.5,36,Your Excellency
Drama,7.2,36,Love Is War
Comedy,5.2,36,R. K. Nagar
"Comedy,Drama,Sport",7.2,36,Sur Sapata
"Comedy,Drama,Romance",1.8,36,5Gang: A Different Kind of Christmas
"Comedy,Drama",5.2,36,Wives on Strike: The Revolution
Comedy,5.9,36,Saverio Raimondo: Il Satiro Parlante
Documentary,4.4,36,"Hello, Privilege. It's Me, Chelsea"
Drama,6.5,35,The Bling Lagosians
"Mystery,Thriller",5.2,35,In Paradox
Comedy,5.7,35,Francesco De Carlo: Cose di Questo Mondo
"Animation,Adventure,Comedy,Family,Horror,Musical",6.9,35,Super Monsters Back to School
Drama,4.5,35,Hot Gimmick: Girl Meets Boy
Documentary,6.7,34,Ibrahim: A Fate to Define
Drama,5.1,34,The End
Documentary,6.2,34,Surviving R. Kelly: The Impact
"Crime,Drama",5.9,34,Kaagar
"Animation,Short,Adventure,Drama,Family,Fantasy",3.8,34,Spookley and the Christmas Kittens
"Comedy,Drama",4.4,33,Luckee
Comedy,6.6,33,Liss Pereira: Renteniendo Liquidos
"Crime,Thriller",3.6,32,Sin City
"Documentary,Short",4.6,31,After Maria
Comedy,4.9,30,Holy Expectations
Comedy,4.4,29,Grego Rossello: disculpe las molestias
"Comedy, Drama",8.6,96,Love on the Spectrum
