Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
Documentary,7.8,true,64,Fantastic Fungi,2019,6163f0ed62fe85987e156dc1
Documentary,6.8,true,64,David Foster: Off the Record,2019,6163f0ed62fe85987e156dc8
"Crime,Drama",7.6,true,64,A Sun,2019,6163f0ed62fe85987e156ddd
"Drama,Horror,Mystery,Thriller",5.7,true,64,Eli,2019,6163f0ed62fe85987e156de2
Drama,5.8,true,64,American Son,2019,6163f0ed62fe85987e156de7
"Crime,Drama,Thriller",5.9,true,64,Rust Creek,2019,6163f0ed62fe85987e156dfa
"Comedy,Drama,Music",7,true,64,Fisherman’s Friends,2019,6163f0ed62fe85987e156dfe
"Action,Crime",6.6,true,64,Avengement,2019,6163f0ed62fe85987e156dff
"Crime,Drama",5.4,true,64,Lying and Stealing,2019,6163f0ed62fe85987e156e0a
Drama,5.3,true,64,Who Would You Take to a Deserted Island?,2019,6163f0ed62fe85987e156e0b
"Drama,Horror,Romance",6.5,true,63,Inhuman Kiss,2019,6163f0ed62fe85987e156e19
"Comedy,Drama,Romance",6.1,true,63,Holiday in the Wild,2019,6163f0ed62fe85987e156e1d
"Drama,Thriller",6.2,true,63,The Hummingbird Project,2019,6163f0ed62fe85987e156e29
"Action,Biography,Crime,Drama",6.5,true,63,Master Z: Ip Man Legacy,2019,6163f0ed62fe85987e156e40
"Comedy,Crime,Romance",6.3,true,63,Furie,2019,6163f0ed62fe85987e156e47
"Drama,Horror,Mystery,Thriller",8.2,true,63,The Blue Elephant Part 2,2019,6163f0ed62fe85987e156e48
"Documentary,Music",7.4,true,63,"Everybody's Everything",2019,6163f0ed62fe85987e156e4f
Documentary,7.4,true,63,Capital in the Twenty-First Century,2019,6163f0ed62fe85987e156e54
"Action,Adventure,Comedy,Sci-Fi",5.2,true,63,Rim of the World,2019,6163f0ed62fe85987e156e55
"Animation,Drama,Family",7.5,true,63,Violet Evergarden: Eternity and the Auto Memory Doll,2019,6163f0ed62fe85987e156e5c
Comedy,7.8,true,62,Aziz Ansari: Right Now,2019,6163f0ed62fe85987e156e63
"Horror,Mystery,Thriller,Western",5.6,true,62,The Wind,2019,6163f0ed62fe85987e156e66
"Action,Drama,Mystery,Thriller",5.7,true,62,The Operative,2019,6163f0ed62fe85987e156e71
"Adventure,Horror,Mystery,Sci-Fi,Thriller",5.8,true,62,Sweetheart,2019,6163f0ed62fe85987e156e78
"Action,Thriller",5.6,true,62,Triple Threat,2019,6163f0ed62fe85987e156e7d
"Comedy,Drama",6.3,true,62,Sword of Trust,2019,6163f0ed62fe85987e156e8c
Drama,8,true,62,Uyare,2019,6163f0ed62fe85987e156e8f
"Comedy,Drama",6.5,true,62,Chopsticks,2019,6163f0ed62fe85987e156e91
"Comedy,Romance",5.6,true,62,Falling Inn Love,2019,6163f0ed62fe85987e156e9f
"Adventure,Comedy,Drama",5.5,true,61,Wine Country,2019,6163f0ed62fe85987e156ea5
"Comedy,Drama",5.9,true,61,4 latas,2019,6163f0ed62fe85987e156ea7
"Comedy,Romance",5.6,true,61,The Last Summer,2019,6163f0ed62fe85987e156ea8
Comedy,7.5,true,61,Seth Meyers: Lobby Baby,2019,6163f0ed62fe85987e156ead
Drama,7.3,true,61,"I'm No Longer Here",2019,6163f0ed62fe85987e156eaf
Sport,5.9,true,61,"Bennett's War",2019,6163f0ed62fe85987e156eb4
Documentary,8.3,true,61,Dancing with the Birds,2019,6163f0ed62fe85987e156ec1
Comedy,7.2,true,61,Wanda Sykes: Not Normal,2019,6163f0ed62fe85987e156ecf
"Drama,Thriller",8.5,true,61,Oththa Seruppu Size 7,2019,6163f0ed62fe85987e156ed9
"Crime,Drama,Mystery,Romance,Thriller",5.9,true,61,Earthquake Bird,2019,6163f0ed62fe85987e156ee7
"Crime,Thriller",6.3,true,60,The Legacy of the Bones,2019,6163f0ed62fe85987e156f00
"Comedy,Romance",6.3,true,60,Luka Chuppi,2019,6163f0ed62fe85987e156f01
"Drama,Horror,Mystery,Thriller",5.1,true,60,Polaroid,2019,6163f0ed62fe85987e156f03
Documentary,7.4,true,60,This Changes Everything,2019,6163f0ed62fe85987e156f06
"Animation,Adventure,Family",6.6,true,60,Dragon Quest: Your Story,2019,6163f0ed62fe85987e156f15
