Genres,IMDb,Rotten Tomatoes,Title
"Action,Drama,History,Horror,Thriller",8.2,58,Ashin of the North
"Comedy,Romance",6.8,58,Sweet & Sour
"Musical,Romance",7.2,58,99 Songs
"Animation,Action,Drama,Romance,Sci-Fi",6.8,57,Mobile Suit Gundam: Hathaway
"Action,Comedy,Crime",6.2,57,Get the Goat
"Action,Crime,Drama,Thriller",4.7,57,Sentinelle
"Drama,Horror,Mystery,Thriller",5.7,57,A Classic Horror Story
"Drama,Romance",6.7,57,Ajeeb Daastaans
"Horror,Thriller",4.2,57,The Devil Below
"Drama,Family,Musical",5.8,56,A Week Away
"Crime,Drama",7,56,A Family
"Action,Adventure,Sci-Fi",2.5,56,Cosmic Sin
Drama,7,56,Cousins
"Animation,Drama,Romance",7,56,Words Bubble Up Like Soda Pop
"Action,Adventure,Fantasy",4.8,56,Dynasty Warriors
Romance,5.3,56,This Little Love of Mine
Documentary,5.9,56,The Minimalists: Less Is Now
"Drama,Mystery,Sci-Fi,Thriller",4.9,56,Deep
Documentary,7.9,56,Biking Borders - eine etwas andere Reise
"Drama,Horror,Thriller",5.2,56,Ghost Lab
"Comedy,Drama,Romance",5.3,56,A Perfect Fit
"Drama,Thriller",5.3,55,Prime Time
"Biography,Drama,Sport",6.1,55,Baggio: The Divine Ponytail
"Crime,Drama,Mystery,Thriller",4.4,55,The Girl on the Train
"Action,Adventure,Drama",8,55,Rurouni Kenshin: The Beginning
Drama,6.6,55,One
"Comedy,Drama",5.5,55,Dancing Queens
"Biography,Crime,Drama,Romance",5.4,55,Madame Claude
"Comedy,Drama",6.2,55,Have You Ever Seen Fireflies?
Documentary,8.9,54,"In Our Mothers' Gardens"
"Drama,Romance,Sport",5.8,54,Caught by a Wave
"Mystery,Thriller",5.8,54,Irul
Documentary,7.5,54,Héroes. Silencio y Rock & Roll
"Drama,Romance",5.8,54,My Amanda
"Drama,Thriller",7.3,53,Accomplice
"Drama,Fantasy,Mystery,Thriller",5.6,53,Homunculus
"Documentary,Biography,Sport",6.7,53,Tony Parker: The Final Shot
"Comedy,Drama",6,53,Stuck Apart
"Action,Adventure,Crime,Thriller",6.3,53,Wild Dog
"Action,Adventure,Drama,Fantasy,Romance",6.4,52,The Yinyang Master
"Action,Drama,Romance",6.8,52,Uppena
Comedy,3.9,52,Carnaval
"Animation,Adventure,Comedy,Family,Musical",6.7,52,Arlo the Alligator Boy
"Drama,Romance,Thriller",5.4,52,Ride or Die
"Drama,Fantasy,Mystery,Sci-Fi",5.9,52,Super Me
"Comedy,Romance",4.5,52,Just Say Yes
"Drama,Music,Romance",6.5,51,Wish You
Comedy,6.7,51,Hate by Dani Rovira
"Comedy,Romance",5,51,Squared Love
"Documentary,Crime,Mystery",6.8,51,Private Network: Who Killed Manuel Buendia
Comedy,6.9,51,Brian Regan: On the Rocks
Documentary,8.9,51,7 Yards: The Chris Norton Story
"Documentary,Short,Sport",5.3,51,Audible
"Action,Crime,Sport",5.6,51,Bartkowiak
"Documentary,Animation",7.6,50,Headspace: Unwind Your Mind
"Comedy,Drama,Family",5.6,50,Double Dad
"Drama,Thriller",3.7,50,Deadly Illusions
Drama,7.3,50,The Tambour of Retribution
Documentary,5.1,50,Poeslief: een ode aan de kat
"Comedy,Horror",4.3,50,Roohi
Thriller,4.6,49,Family Seductions
"Drama,Romance",6.4,49,Layla Majnun
"Documentary,Biography",7.4,49,Amy Tan: Unintended Memoir
Documentary,5.2,49,"Strip Down, Rise Up"
"Documentary,Short,Biography",6.6,49,What Would Sophia Loren Do?
"Comedy,Drama",7.1,49,Ahaan
Comedy,4.4,49,Bankrolled
Comedy,7,49,Love or Money
"Comedy,Drama",7.1,49,Aelay
Drama,7.8,49,Care Of Kaadhal
"Documentary,Music",6.5,49,Dolly Parton: A MusiCares Tribute
Music,6.9,48,Sam Smith: Love Goes - Live at Abbey Road Studios
"Comedy,Crime",5.4,48,Get the Grift
"Drama,Romance",5.6,48,The Last Paradiso
"Drama,Family",6.1,48,Tribhanga
"Animation,Adventure,Family",6,48,Barbie & Chelsea the Lost Birthday
"Documentary,Sport",5.7,48,Sisters on Track
"Documentary,Biography,Crime",4.2,48,Searching for Sheela
"Adventure,Comedy,Drama",5.8,47,Gold Statue
"Adventure,Reality-TV",5.8,47,Animals on the Loose: A You vs. Wild Movie
Animation,7.2,46,Octonauts: The Ring of Fire
"Comedy,Drama,Romance",4.1,46,Sardar Ka Grandson
"Comedy,Drama,Family",6.3,46,June & Kopi
Drama,5.5,46,Strain
Music,6.6,46,Emicida: AmarElo – Live in São Paulo
Romance,6.4,46,Kambili: The Whole 30 Yards
Drama,4.7,45,Madam Chief Minister
"Drama,Romance",6,45,Tersanjung the Movie
Thriller,5,45,Hostage House
"Animation,Short,Comedy,Family",7.1,45,The Last Kids on Earth: Happy Apocalypse to You
"Drama,Romance",5.1,45,Geez & Ann
"Comedy,Drama,Romance",6.4,44,The Heartbreak Club
Comedy,4,44,Lee Su-geun: The Sense Coach
Comedy,5.8,44,Soy Rada: Serendipia
Comedy,7.1,44,Chris Rock Total Blackout: The Tamborine Extended Cut
"Comedy,Romance",3.8,44,Resort to Love
"Action,Crime,Drama,Romance",6,44,Gatao: The Last Stray
"Drama,Thriller,War",7.2,44,Clash
"Comedy,Crime",6.9,44,One Lagos Night
"Animation,Family",5.6,43,Super Monsters: Once Upon a Rhyme
Animation,7.4,43,Chhota Bheem - Neeli Pahaadi
"Action,Comedy,Crime",4.5,43,The Misadventures of Hedi and Cokeman
"Comedy,Musical,Romance",4.5,43,Tuesdays And Fridays
Comedy,5.3,43,Mommy Issues
Comedy,5.9,43,Loyiso Gola: Unlearning
"Comedy,Romance",6.8,42,Just in Time
"Comedy,Drama",5.7,41,Sarbath
Comedy,4.1,41,Alan Saldaña: Locked Up
Romance,7.2,40,2 Weeks in Lagos
"Documentary,Music",2,40,Myriam Fares: The Journey
"Drama,History",5.9,40,Virgen de San Juan
"Comedy,Drama",4.3,39,What Happened to Mr. Cha?
Comedy,4.7,36,RebellComedy: Straight Outta the Zoo
Thriller,3.8,34,Sanitation Day
"Action,Comedy",5.9,23,The Last Mercenary
"Drama, Sci-Fi",7.1,95,Nine Perfect Strangers
"Comedy, Musical",6.2,77,He-Man and the Masters of the Universe
