Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
"Documentary,Short,Biography",6.6,true,49,What Would Sophia Loren Do?,2021,6165e0ee8a2fde8299a2db0d
"Comedy,Drama",7.1,true,49,Ahaan,2021,6165e0ee8a2fde8299a2db13
Comedy,4.4,true,49,Bankrolled,2021,6165e0ee8a2fde8299a2db1a
Comedy,7,true,49,Love or Money,2021,6165e0ee8a2fde8299a2db1e
"Comedy,Drama",7.1,true,49,Aelay,2021,6165e0ee8a2fde8299a2db2a
Drama,7.8,true,49,Care Of Kaadhal,2021,6165e0ee8a2fde8299a2db2b
"Documentary,Music",6.5,true,49,Dolly Parton: A MusiCares Tribute,2021,6165e0ee8a2fde8299a2db3b
Music,6.9,true,48,Sam Smith: Love Goes - Live at Abbey Road Studios,2021,6165e0ee8a2fde8299a2db47
"Comedy,Crime",5.4,true,48,Get the Grift,2021,6165e0ee8a2fde8299a2db4e
"Drama,Romance",5.6,true,48,The Last Paradiso,2021,6165e0ee8a2fde8299a2db50
"Drama,Family",6.1,true,48,Tribhanga,2021,6165e0ee8a2fde8299a2db56
"Animation,Adventure,Family",6,true,48,Barbie & Chelsea the Lost Birthday,2021,6165e0ee8a2fde8299a2db69
,,true,48,Pretty Guardians Sailor Moon Eternal The MOVIE - Part 2,2021,6165e0ee8a2fde8299a2db6f
"Documentary,Sport",5.7,true,48,Sisters on Track,2021,6165e0ee8a2fde8299a2db70
"Documentary,Biography,Crime",4.2,true,48,Searching for Sheela,2021,6165e0ee8a2fde8299a2db89
"Adventure,Comedy,Drama",5.8,true,47,Gold Statue,2021,6165e0ee8a2fde8299a2dbdb
"Adventure,Reality-TV",5.8,true,47,Animals on the Loose: A You vs. Wild Movie,2021,6165e0ee8a2fde8299a2dc09
Animation,7.2,true,46,Octonauts: The Ring of Fire,2021,6165e0ee8a2fde8299a2dc37
"Comedy,Drama,Romance",4.1,true,46,Sardar Ka Grandson,2021,6165e0ee8a2fde8299a2dc3c
"Comedy,Drama,Family",6.3,true,46,June & Kopi,2021,6165e0ee8a2fde8299a2dc44
Drama,5.5,true,46,Strain,2021,6165e0ee8a2fde8299a2dc55
Music,6.6,true,46,Emicida: AmarElo – Live in São Paulo,2021,6165e0ee8a2fde8299a2dc58
Romance,6.4,true,46,Kambili: The Whole 30 Yards,2021,6165e0ee8a2fde8299a2dc84
Drama,,true,45,Therapy,2021,6165e0ee8a2fde8299a2dca4
Drama,4.7,true,45,Madam Chief Minister,2021,6165e0ee8a2fde8299a2dca6
"Drama,Romance",6,true,45,Tersanjung the Movie,2021,6165e0ee8a2fde8299a2dcad
Thriller,5,true,45,Hostage House,2021,6165e0ee8a2fde8299a2dcb5
"Animation,Short,Comedy,Family",7.1,true,45,The Last Kids on Earth: Happy Apocalypse to You,2021,6165e0ee8a2fde8299a2dcc1
"Drama,Romance",5.1,true,45,Geez & Ann,2021,6165e0ee8a2fde8299a2dcc6
"Comedy,Drama,Romance",6.4,true,44,The Heartbreak Club,2021,6165e0ee8a2fde8299a2dcea
Comedy,4,true,44,Lee Su-geun: The Sense Coach,2021,6165e0ee8a2fde8299a2dcfa
Comedy,5.8,true,44,Soy Rada: Serendipia,2021,6165e0ee8a2fde8299a2dd01
Comedy,7.1,true,44,Chris Rock Total Blackout: The Tamborine Extended Cut,2021,6165e0ee8a2fde8299a2dd07
"Comedy,Romance",3.8,true,44,Resort to Love,2021,6165e0ee8a2fde8299a2dd0d
"Action,Crime,Drama,Romance",6,true,44,Gatao: The Last Stray,2021,6165e0ee8a2fde8299a2dd11
"Drama,Thriller,War",7.2,true,44,Clash,2021,6165e0ee8a2fde8299a2dd13
"Comedy,Crime",6.9,true,44,One Lagos Night,2021,6165e0ee8a2fde8299a2dd25
"Animation,Family",5.6,true,43,Super Monsters: Once Upon a Rhyme,2021,6165e0ee8a2fde8299a2dd68
Animation,7.4,true,43,Chhota Bheem - Neeli Pahaadi,2021,6165e0ee8a2fde8299a2dd71
"Action,Comedy,Crime",4.5,true,43,The Misadventures of Hedi and Cokeman,2021,6165e0ee8a2fde8299a2dd7e
"Comedy,Musical,Romance",4.5,true,43,Tuesdays And Fridays,2021,6165e0ee8a2fde8299a2dd7f
Comedy,5.3,true,43,Mommy Issues,2021,6165e0ee8a2fde8299a2dd96
Comedy,5.9,true,43,Loyiso Gola: Unlearning,2021,6165e0ee8a2fde8299a2dda2
"Comedy,Romance",6.8,true,42,Just in Time,2021,6165e0ee8a2fde8299a2ddc8
"Comedy,Drama",5.7,true,41,Sarbath,2021,6165e0ee8a2fde8299a2de17
Comedy,4.1,true,41,Alan Saldaña: Locked Up,2021,6165e0ee8a2fde8299a2de53
Romance,7.2,true,40,2 Weeks in Lagos,2021,6165e0ee8a2fde8299a2de8c
"Documentary,Music",2,true,40,Myriam Fares: The Journey,2021,6165e0ee8a2fde8299a2dea8
"Drama,History",5.9,true,40,Virgen de San Juan,2021,6165e0ee8a2fde8299a2dea9
"Comedy,Drama",4.3,true,39,What Happened to Mr. Cha?,2021,6165e0ee8a2fde8299a2ded8
Comedy,4.7,true,36,RebellComedy: Straight Outta the Zoo,2021,6165e0ee8a2fde8299a2df8d
Thriller,3.8,true,34,Sanitation Day,2021,6165e0ee8a2fde8299a2dff7
"Documentary,Short",,true,24,Trese After Dark,2021,6165e0ee8a2fde8299a2e031
"Action,Comedy",5.9,true,23,The Last Mercenary,2021,6165e0ee8a2fde8299a2e032
