Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
Documentary,7.3,true,77,Trixie Mattel: Moving Parts,2019,616528458a2fde8299a2ab7e
Drama,7.1,true,77,Evelyn,2019,616528458a2fde8299a2ab80
"Crime,Mystery,Sci-Fi,Thriller",6.2,true,77,In the Shadow of the Moon,2019,616528458a2fde8299a2ab82
"Action,Comedy,Crime,Mystery,Romance",6,true,76,Murder Mystery,2019,616528458a2fde8299a2ab8d
"Comedy,Drama",7.6,true,76,The Two Popes,2019,616528458a2fde8299a2ab98
"Action,Adventure,Sci-Fi,Thriller",6,true,76,The Wandering Earth,2019,616528458a2fde8299a2ab99
Thriller,6.6,true,76,Eye for an Eye,2019,616528458a2fde8299a2ab9b
"Action,Thriller",6.1,true,75,6 Underground,2019,616528458a2fde8299a2aba9
Drama,6.3,true,75,Uncorked,2020,616528458a2fde8299a2abaa
"Action,Drama",7.3,true,75,Petta,2019,616528458a2fde8299a2abab
"Documentary,Crime",6.7,true,75,"Bikram: Yogi, Guru, Predator",2019,616528458a2fde8299a2abae
"Action,Thriller",6.4,true,75,Angel Has Fallen,2019,616528458a2fde8299a2abbd
"Drama,History,Thriller",6.6,true,75,The Red Sea Diving Resort,2019,616528458a2fde8299a2abc0
"Adventure,Comedy,Drama,Family,Romance,Sport",7.1,true,74,Game Over,2019,616528458a2fde8299a2abe3
"Documentary,Comedy",6.8,true,74,Have a Good Trip: Adventures in Psychedelics,2020,616528458a2fde8299a2abe5
"Drama,Music",6.5,true,74,"Nobody Knows I'm Here",2020,616528458a2fde8299a2abe8
"Biography,Comedy,Drama",6.9,true,74,Mank,2020,616528458a2fde8299a2abec
"Biography,Crime,Drama,Thriller",6.7,true,74,"Extremely Wicked, Shockingly Evil and Vile",2019,616528458a2fde8299a2abed
Comedy,6.1,true,74,Between Two Ferns: The Movie,2019,616528458a2fde8299a2abef
"Action,Crime,Thriller",6.2,true,73,Lost Bullet,2020,616528458a2fde8299a2abf6
"Crime,Drama",7.1,true,73,Soni,2019,616528458a2fde8299a2abf9
"Comedy,Romance",5.8,true,73,Let It Snow,2019,616528458a2fde8299a2abff
"Comedy,Horror",5.8,true,73,The Babysitter: Killer Queen,2020,616528458a2fde8299a2ac00
Documentary,6.9,true,73,Spelling the Dream,2020,616528458a2fde8299a2ac03
Documentary,7.1,true,73,Knock Down the House,2019,616528458a2fde8299a2ac04
"Action,Crime,Drama,Thriller",6.3,true,73,Polar,2019,616528458a2fde8299a2ac06
"Action,Comedy,Crime,Drama,Mystery,Thriller",6.2,true,73,Spenser Confidential,2020,616528458a2fde8299a2ac0a
"Biography,Crime,Drama,Mystery,Thriller",6.9,true,73,The Highwaymen,2019,616528458a2fde8299a2ac0f
"Comedy,Romance",6.1,true,73,Holidate,2020,616528458a2fde8299a2ac11
"Biography,Drama",7.3,true,73,The Professor and the Madman,2019,616528458a2fde8299a2ac1e
"Mystery,Thriller",6.4,true,73,Fractured,2019,616528458a2fde8299a2ac21
"Comedy,Romance",5.8,true,72,The Perfect Date,2019,616528458a2fde8299a2ac36
"Action,Crime,Drama,Sci-Fi,Thriller",6.1,true,72,Code 8,2019,616528458a2fde8299a2ac37
"Action,Adventure,Crime,Thriller",6.4,true,72,Triple Frontier,2019,616528458a2fde8299a2ac49
"Drama,Mystery,Sci-Fi,Thriller",6.7,true,72,Freaks,2019,616528458a2fde8299a2ac4d
"Drama,Mystery,Thriller",6,true,72,Horse Girl,2020,616528458a2fde8299a2ac4f
Drama,6.7,true,72,Hillbilly Elegy,2020,616528458a2fde8299a2ac51
"Drama,Thriller",6.6,true,71,"I'm Thinking of Ending Things",2020,616528458a2fde8299a2ac57
"Drama,Romance",5.3,true,71,After,2019,616528458a2fde8299a2ac62
"Horror,Mystery,Thriller",5.7,true,71,Velvet Buzzsaw,2019,616528458a2fde8299a2ac66
"Comedy,Drama",7.2,true,71,"Live Twice, Love Once",2019,616528458a2fde8299a2ac6c
"Action,Adventure,Drama,Fantasy",6.8,true,71,The Outpost,2019,616528458a2fde8299a2ac73
"Action,Drama,Romance",7.1,true,71,Kabir Singh,2019,616528458a2fde8299a2ac74
"Documentary,Music",7.5,true,71,Homecoming: A Film by Beyoncé,2019,616528458a2fde8299a2ac75
Comedy,6.7,true,71,Jerry Seinfeld: 23 Hours to Kill,2020,616528458a2fde8299a2ac76
"Action,Biography,Drama,History",7,true,71,Ip Man 4: The Finale,2019,616528458a2fde8299a2ac77
"Comedy,Crime,Drama,History",6.3,true,71,The Laundromat,2019,616528458a2fde8299a2ac78
Comedy,6.6,true,71,Bad Trip,2020,616528458a2fde8299a2ac7a
"Drama,Fantasy,Sci-Fi,Thriller",5.6,true,71,The Midnight Sky,2020,616528458a2fde8299a2ac7e
"Drama,Sci-Fi,Thriller",6.2,true,71,Synchronic,2020,616528458a2fde8299a2ac81
Documentary,7.9,true,70,The Game Changers,2019,616528458a2fde8299a2ac83
Comedy,7.2,true,70,Michelle Wolf: Joke Show,2019,616528458a2fde8299a2ac84
"Adventure,Drama,War",6.5,true,70,Da 5 Bloods,2020,616528458a2fde8299a2ac85
"Biography,Drama,History",7.2,true,70,The Best of Enemies,2019,616528458a2fde8299a2ac87
"Comedy,Romance",6.2,true,70,"Faith, Hope & Love",2019,616528458a2fde8299a2ac8e
Documentary,7.2,true,70,Grass is Greener,2019,616528458a2fde8299a2ac90
"Action,Crime,Drama,Thriller",5.4,true,70,Ava,2020,616528458a2fde8299a2ac93
"Comedy,Crime",5.9,true,70,Go!,2020,616528458a2fde8299a2ac96
Drama,7.8,true,70,System Crasher,2019,616528458a2fde8299a2ac9b
"Comedy,Romance",5.7,true,70,The Wrong Missy,2020,616528458a2fde8299a2ac9f
"Action,Drama,War",7.2,true,70,Mosul,2020,616528458a2fde8299a2aca5
"Comedy,Drama",5.6,true,70,An Easy Girl,2019,616528458a2fde8299a2acac
Documentary,6.7,true,70,"There's Something in the Water",2019,616528458a2fde8299a2acb1
